updated;price
2016-12-13;77.5728
2016-12-10;79.6349
2016-12-09;80.0807
2016-12-08;80.6498
2016-12-07;81.4778
2016-12-06;81.3244
2016-12-03;80.9223
2016-12-02;79.8747
2016-12-01;81.4499
2016-11-30;80.6356
2016-11-29;81.209
2016-11-26;80.3647
2016-11-25;80.2937
2016-11-24;79.4156
2016-11-23;79.4398
2016-11-22;79.4435
2016-11-19;80.792
2016-11-18;80.8197
2016-11-17;80.4892
2016-11-16;81.8911
2016-11-15;82.3239
2016-11-12;81.9513
2016-11-11;78.8833
2016-11-10;79.3229
2016-11-09;79.2435
2016-11-08;79.2643
2016-11-05;78.4278
2016-11-04;78.4278
2016-11-03;77.8122
2016-11-02;77.5115
2016-11-01;77.0304
2016-10-29;76.579
2016-10-28;77.1734
2016-10-27;76.0253
2016-10-26;75.8785
2016-10-25;76.1071
2016-10-22;76.4449
2016-10-21;76.5886
2016-10-20;77.0223
2016-10-19;77.0465
2016-10-18;76.8295
2016-10-15;76.8897
2016-10-14;77.0293
2016-10-13;76.8345
2016-10-12;76.4807
2016-10-11;77.4053
2016-10-08;77.5611
2016-10-07;79.385
2016-10-06;79.5094
2016-10-05;79.7573
2016-10-04;80.4113
2016-10-01;82.1359
2016-09-30;82.1813
2016-09-29;83.1681
2016-09-28;82.5959
2016-09-27;82.9018
2016-09-24;83.1129
2016-09-23;83.4492
2016-09-22;83.5947
2016-09-21;84.2026
2016-09-20;84.8534
2016-09-17;85.8376
2016-09-16;86.2625
2016-09-15;85.7848
2016-09-14;86.3337
2016-09-13;86.3525
2016-09-10;85.2645
2016-09-09;85.4231
2016-09-08;86.2826
2016-09-07;86.4646
2016-09-06;86.305
2016-09-03;87.4337
2016-09-02;85.7667
2016-09-01;85.7888
2016-08-31;84.8986
2016-08-30;85.204
2016-08-27;85.6031
2016-08-26;85.8845
2016-08-25;85.6582
2016-08-24;85.4878
2016-08-23;84.0223
2016-08-20;83.8625
2016-08-19;83.1471
2016-08-18;83.423
2016-08-17;82.7659
2016-08-16;82.9434
2016-08-13;83.3414
2016-08-12;84.0969
2016-08-11;84.5171
2016-08-10;84.2202
2016-08-09;84.9358
2016-08-06;86.1822
2016-08-05;88.2245
2016-08-04;88.927
2016-08-03;88.2703
2016-08-02;87.2918
2016-07-30;88.3534
2016-07-29;87.3478
2016-07-28;86.5946
2016-07-27;86.0087
2016-07-26;85.2963
2016-07-23;85.7794
2016-07-22;84.1906
2016-07-21;83.0716
2016-07-20;83.1519
2016-07-19;83.6595
2016-07-16;84.7295
2016-07-15;84.1255
2016-07-14;84.4713
2016-07-13;83.9812
2016-07-12;82.7441
2016-07-09;83.1508
2016-07-08;83.1433
2016-07-07;83.677
2016-07-06;84.634
2016-07-05;84.6302
2016-07-02;85.1804
2016-07-01;86.4701
2016-06-30;86.0472
2016-06-29;86.4364
2016-06-28;87.1463
2016-06-25;90.5017
2016-06-24;95.0281
2016-06-23;93.4334
2016-06-22;94.5223
2016-06-21;94.0003
2016-06-18;93.5135
2016-06-17;93.3854
2016-06-16;93.4947
2016-06-15;93.4003
2016-06-14;93.4185
2016-06-11;93.4185
2016-06-10;92.1875
2016-06-09;93.999
2016-06-08;94.9963
2016-06-07;94.967
2016-06-04;96.5155
2016-06-03;96.2656
2016-06-02;96.3728
2016-06-01;96.2687
2016-05-31;96.5465
2016-05-28;96.8298
2016-05-27;95.977
2016-05-26;96.4965
2016-05-25;97.483
2016-05-24;97.4602
2016-05-21;96.6523
2016-05-20;96.8535
2016-05-19;93.9005
2016-05-18;93.4999
2016-05-17;93.2981
2016-05-14;93.591
2016-05-13;93.7773
2016-05-12;95.5685
2016-05-11;95.691
2016-05-07;95.9663
2016-05-06;95.385
2016-05-05;95.8896
2016-05-04;93.9782
2016-05-03;93.9782
2016-04-30;93.9782
2016-04-29;95.0264
2016-04-28;94.9407
2016-04-27;96.6867
2016-04-26;96.0931
2016-04-23;95.0916
2016-04-22;93.0904
2016-04-21;94.8943
2016-04-20;93.9546
2016-04-19;96.742
2016-04-16;93.4672
2016-04-15;93.9115
2016-04-14;93.5919
2016-04-13;94.7349
2016-04-12;95.4115
2016-04-09;95.3028
2016-04-08;95.4229
2016-04-07;96.6701
2016-04-06;97.9617
2016-04-05;97.6288
2016-04-02;96.4145
2016-04-01;97.4469
2016-03-31;97.5442
2016-03-30;97.8726
2016-03-29;96.0588
2016-03-26;96.6912
2016-03-25;97.0229
2016-03-24;95.9419
2016-03-23;96.9406
2016-03-22;98.9881
2016-03-19;98.8212
2016-03-18;97.9308
2016-03-17;100.21
2016-03-16;100.337
2016-03-15;100.678
2016-03-12;100.285
2016-03-11;101.087
2016-03-10;102.66
2016-03-05;103.44
2016-03-04;103.856
2016-03-03;102.781
2016-03-02;103.334
2016-03-01;105.288
2016-02-27;105.066
2016-02-26;106.576
2016-02-25;106.843
2016-02-24;111.125
2016-02-23;111.125
2016-02-21;111.125
2016-02-20;109.363
2016-02-19;107.791
2016-02-18;111.077
2016-02-17;110.304
2016-02-16;112.788
2016-02-13;115.069
2016-02-12;114.502
2016-02-11;114.65
2016-02-10;113.678
2016-02-09;111.78
2016-02-06;112.376
2016-02-05;111.725
2016-02-04;114.054
2016-02-03;112.028
2016-02-02;109.009
2016-01-30;107.97
2016-01-29;110.357
2016-01-28;113.132
2016-01-27;116.057
2016-01-26;110.946
2016-01-23;114.903
2016-01-22;118.399
2016-01-21;112.502
2016-01-20;112.22
2016-01-19;112.644
2016-01-16;110.108
2016-01-15;110.262
2016-01-14;110.323
2016-01-13;111.283
2016-01-12;110.561
2016-01-09;108.243
2016-01-06;108.243
2016-01-01;108.243
2015-12-31;107.983
2015-12-30;108.086
2015-12-29;105.635
2015-12-26;105.221
2015-12-25;103.517
2015-12-24;105.251
2015-12-23;105.942
2015-12-22;106.234
2015-12-19;106.305
2015-12-18;105.44
2015-12-17;105.841
2015-12-16;107.321
2015-12-15;106.509
2015-12-12;104.891
2015-12-11;104.985
2015-12-10;104.111
2015-12-09;104.189
2015-12-08;103.15
2015-12-05;102.276
2015-12-04;101.24
2015-12-03;100.571
2015-12-02;100.037
2015-12-01;100.286
2015-11-28;99.9352
2015-11-27;99.1757
2015-11-26;98.8404
2015-11-25;99.2452
2015-11-24;99.4652
2015-11-21;99.0718
2015-11-20;99.1531
2015-11-19;98.4957
2015-11-18;99.3657
2015-11-17;100.947
2015-11-14;101.411
2015-11-13;99.379
2015-11-12;97.8806
2015-11-11;97.2365
2015-11-10;97.4888
2015-11-07;96.652
2015-11-06;97.5966
2015-11-04;98.4478
2015-11-03;98.4551
2015-10-31;98.7436
2015-10-30;97.9405
2015-10-29;99.9268
2015-10-28;97.4414
2015-10-27;95.8683
2015-10-24;95.401
2015-10-23;97.1657
2015-10-22;96.7397
2015-10-21;96.2143
2015-10-20;95.0629
2015-10-17;94.8483
2015-10-16;96.334
2015-10-15;96.6188
2015-10-14;95.1276
2015-10-13;93.9073
2015-10-10;94.1885
2015-10-09;95.5219
2015-10-08;95.8651
2015-10-07;98.6728
2015-10-06;99.8809
2015-10-03;99.8748
2015-10-02;98.4544
2015-10-01;99.663
2015-09-30;100.647
2015-09-29;99.8412
2015-09-26;100.033
2015-09-25;101.555
2015-09-24;101.346
2015-09-23;102.372
2015-09-22;102.85
2015-09-19;102.445
2015-09-18;101.416
2015-09-17;101.185
2015-09-16;103.651
2015-09-15;105.021
2015-09-12;104.993
2015-09-11;105.34
2015-09-10;104.09
2015-09-09;105.653
2015-09-08;104.332
2015-09-05;103.111
2015-09-04;102.304
2015-09-03;102.027
2015-09-02;100.318
2015-09-01;102.822
2015-08-29;102.403
2015-08-28;104.469
2015-08-27;108.657
2015-08-26;110.424
2015-08-25;111.037
2015-08-22;107.06
2015-08-21;104.854
2015-08-20;103.092
2015-08-19;102.687
2015-08-18;102.513
2015-08-15;101.34
2015-08-14;99.9597
2015-08-13;101.368
2015-08-12;98.6452
2015-08-11;99.765
2015-08-08;98.9901
2015-08-07;99.6923
2015-08-06;97.7592
2015-08-05;98.0266
2015-08-04;97.5371
2015-08-01;93.9403
2015-07-31;92.1079
2015-07-30;93.3134
2015-07-29;93.5927
2015-07-28;91.2408
2015-07-25;89.8825
2015-07-24;89.8108
2015-07-23;89.0988
2015-07-22;88.8327
2015-07-21;88.5808
2015-07-18;88.9696
2015-07-17;88.9394
2015-07-16;88.7191
2015-07-15;88.1953
2015-07-14;87.8951
2015-07-11;87.5472
2015-07-10;87.744
2015-07-09;88.1835
2015-07-08;88.89
2015-07-07;87.7984
2015-07-04;86.8604
2015-07-03;86.7836
2015-07-02;87.2076
2015-07-01;87.7602
2015-06-30;87.1727
2015-06-27;86.3463
2015-06-26;85.7861
2015-06-25;85.4271
2015-06-24;85.5187
2015-06-23;84.9252
2015-06-20;85.3224
2015-06-19;84.8322
2015-06-18;84.4773
2015-06-17;84.3632
2015-06-16;85.8421
2015-06-12;84.2683
2015-06-11;84.6121
2015-06-10;85.5255
2015-06-09;85.4832
2015-06-06;86.2087
2015-06-05;84.5044
2015-06-04;81.4615
2015-06-03;81.2682
2015-06-02;80.6581
2015-05-30;81.0465
2015-05-29;80.329
2015-05-28;78.6337
2015-05-27;77.4561
2015-05-26;77.2352
2015-05-23;77.9713
2015-05-22;77.8858
2015-05-21;77.1774
2015-05-20;76.5943
2015-05-19;77.0992
2015-05-16;78.8431
2015-05-15;78.942
2015-05-14;77.6932
2015-05-13;79.3036
2015-05-12;78.5221
2015-05-09;78.5221
2015-05-08;76.4236
2015-05-07;75.8171
2015-05-06;78.2934
2015-05-05;79.1168
2015-05-02;79.1168
2015-05-01;79.1168
2015-04-30;79.6483
2015-04-29;79.6382
2015-04-28;77.9138
2015-04-25;76.0593
2015-04-24;77.3655
2015-04-23;80.1667
2015-04-22;80.2468
2015-04-21;77.1265
2015-04-18;75.6528
2015-04-17;73.6381
2015-04-16;74.3762
2015-04-15;76.1796
2015-04-14;76.468
2015-04-11;74.9777
2015-04-10;77.6577
2015-04-09;80.4516
2015-04-08;82.4403
2015-04-07;84.4464
2015-04-04;84.1085
2015-04-03;84.5564
2015-04-02;86.5267
2015-04-01;85.1606
2015-03-31;86.8429
2015-03-28;85.5123
2015-03-27;84.4262
2015-03-26;85.3702
2015-03-25;87.8509
2015-03-24;88.3534
2015-03-21;88.4182
2015-03-20;88.5436
2015-03-19;90.3538
2015-03-18;91.2371
2015-03-17;91.8635
2015-03-14;91.1534
2015-03-13;91.3234
2015-03-12;94.4896
2015-03-11;91.4038
2015-03-10;91.3286
2015-03-07;91.3286
2015-03-06;94.3209
2015-03-05;95.0516
2015-03-04;95.8424
2015-03-03;95.7826
2015-02-28;94.4811
2015-02-27;94.2537
2015-02-26;97.0592
2015-02-25;98.0886
2015-02-24;95.1344
2015-02-21;95.1344
2015-02-20;95.9733
2015-02-19;95.8029
2015-02-18;96.4648
2015-02-17;96.564
2015-02-14;100.096
2015-02-13;100.782
2015-02-12;100.845
2015-02-11;99.7542
2015-02-10;100.297
2015-02-07;101.198
2015-02-06;104.269
2015-02-05;99.1522
2015-02-04;101.754
2015-02-03;104.83
2015-01-31;104.007
2015-01-30;103.907
2015-01-29;101.888
2015-01-28;102.354
2015-01-27;98.5414
2015-01-24;95.0515
2015-01-23;99.0941
2015-01-22;99.4678
2015-01-21;98.1422
2015-01-20;98.3889
2015-01-17;99.2141
2015-01-16;98.6445
2015-01-15;100.45
2015-01-14;98.1456
2015-01-13;94.8134
2015-01-01;87.5451
2014-12-31;87.4199
2014-12-30;88.2169
2014-12-29;80.9394
2014-12-28;80.9394
2014-12-27;80.9394
2014-12-26;81.7125
2014-12-25;84.6849
2014-12-24;85.0671
2014-12-23;88.3679
2014-12-20;95.0288
2014-12-19;92.8852
2014-12-18;106.47
2014-12-17;95.6527
2014-12-16;91.7317
2014-12-13;89.4227
2014-12-12;86.0363
2014-12-11;85.0393
2014-12-10;85.0092
2014-12-09;82.8725
2014-12-06;83.1418
2014-12-05;82.6546
2014-12-04;84.972
2014-12-03;79.7308
2014-12-02;80.9999
2014-11-29;77.3813
2014-11-28;75.2645
2014-11-27;72.9884
2014-11-26;70.4996
2014-11-25;70.1471
2014-11-22;71.7982
2014-11-21;73.1582
2014-11-20;73.4552
2014-11-19;73.5232
2014-11-18;74.1375
2014-11-15;74.3344
2014-11-14;72.7595
2014-11-13;73.8255
2014-11-12;72.7972
2014-11-11;72.9417
2014-11-08;75.8043
2014-11-07;72.2198
2014-11-06;70.8657
2014-11-01;67.1319
2014-10-31;69.3181
2014-10-30;68.7814
2014-10-29;68.3085
2014-10-28;67.5264
2014-10-25;67.0132
2014-10-24;66.5427
2014-10-23;65.9365
2014-10-22;66.3329
2014-10-21;65.8233
2014-10-18;65.8403
2014-10-17;65.1239
2014-10-16;65.1299
2014-10-15;65.0635
2014-10-14;64.8347
2014-10-11;64.6818
2014-10-10;64.6597
2014-10-09;64.2029
2014-10-08;63.9881
2014-10-07;63.8473
2014-10-04;63.9852
2014-10-03;64.0312
2014-10-02;64.2697
2014-10-01;64.0535
2014-09-30;64.0387
2014-09-27;63.1748
2014-09-26;62.4148
2014-09-25;62.9136
2014-09-24;63.217
2014-09-23;63.0754
2014-09-20;63.2246
2014-09-19;62.5454
2014-09-18;62.5355
2014-09-17;62.6453
2014-09-16;61.7046
2014-09-13;61.1961
2014-09-12;60.6422
2014-09-11;59.9764
2014-09-10;59.5639
2014-09-09;59.9616
2014-09-06;60.275
2014-09-05;60.557
2014-09-04;61.4931
2014-09-03;61.8408
2014-09-02;62.0096
2014-08-30;61.3028
2014-08-29;60.2196
2014-08-28;59.869
2014-08-27;59.924
2014-08-26;59.8474
2014-08-23;59.7141
2014-08-22;60.2525
2014-08-21;60.2224
2014-08-20;60.3244
2014-08-19;60.2988
2014-08-16;60.0719
2014-08-15;60.0778
2014-08-14;60.9294
2014-08-13;60.5501
2014-08-12;60.5201
2014-08-09;61.3023
2014-08-08;61.0371
2014-08-07;60.8962
2014-08-06;60.3423
2014-08-05;60.0059
2014-08-02;60.2861
2014-08-01;59.9213
2014-07-31;60.4967
2014-07-30;60.5064
2014-07-29;60.0276
2014-07-26;59.5243
2014-07-25;59.7739
2014-07-24;59.4487
2014-07-23;59.8321
2014-07-22;59.9267
2014-07-19;60.1247
2014-07-18;59.5912
2014-07-17;58.933
2014-07-16;58.6598
2014-07-15;58.755
2014-07-12;58.3213
2014-07-11;57.9633
2014-07-10;58.3787
2014-07-09;58.9852
2014-07-08;59.2825
2014-07-05;58.8993
2014-07-04;58.6579
2014-07-03;58.7381
2014-07-02;58.5359
2014-07-01;57.615
2014-06-28;57.2561
2014-06-27;57.2954
2014-06-26;57.4961
2014-06-25;57.853
2014-06-24;58.392
2014-06-21;58.7085
2014-06-20;58.3451
2014-06-19;59.1124
2014-06-18;59.0926
2014-06-17;58.6817
2014-06-12;57.5557
2014-06-11;57.7453
2014-06-10;57.7436
2014-06-07;58.2451
2014-06-06;58.4612
2014-06-05;58.7291
2014-06-04;58.6548
2014-06-03;58.4525
2014-05-31;58.1571
2014-05-30;57.8658
2014-05-29;57.8354
2014-05-28;57.8157
2014-05-27;57.3927
2014-05-24;57.8875
2014-05-23;57.9164
2014-05-22;58.156
2014-05-21;58.188
2014-05-20;58.4525
2014-05-17;58.4329
2014-05-16;58.1164
2014-05-15;58.561
2014-05-14;58.8372
2014-05-13;59.4048
2014-05-09;59.4287
2014-05-08;60.2812
2014-05-07;60.3461
2014-05-06;60.4553
2014-05-01;60.057
2014-04-30;60.1195
2014-04-29;60.6977
2014-04-26;60.3713
2014-04-25;59.9474
2014-04-24;59.9308
2014-04-23;59.9756
2014-04-22;59.9664
2014-04-19;59.6627
2014-04-18;60.4608
2014-04-17;60.4145
2014-04-16;60.0411
2014-04-15;60.224
2014-04-12;59.7805
2014-04-11;59.6629
2014-04-10;59.8479
2014-04-09;59.1439
2014-04-08;58.7668
2014-04-05;58.8749
2014-04-04;59.1509
2014-04-03;58.6412
2014-04-02;58.364
